cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVI;1;2;8.9145;42;-4;3.968;13.1498;30.5397;0.7796;2.754;79.649;2.367;1170
ENVI;1;2;8.9145;42;-5;4.961;13.444;33.8776;0.7277;3.3785;57.664;2.5017;1235.1
ENVI;1;2;8.9145;42;-6;5.953;13.7872;34.5223;0.7135;3.123;44.202;2.507;1221.8
ENVI;1;2;8.9145;42;-7;6.945;13.9135;34.7282;0.6258;3.251;24.083;2.4962;1151.9
ENVI;1;2;8.9145;42;-8;7.937;14.006;34.8523;0.6319;2.266;21.945;2.4322;1241.1
ENVI;1;2;8.9145;42;-9;8.929;14.1352;35.0771;0.5814;2.4836;12.006;2.4245;1035.6
ENVI;1;2;8.9145;42;-10;9.921;14.2259;35.3235;0.5257;2.688;9.0724;2.42;1102.8
ENVI;1;2;8.9145;42;-11;10.913;14.2354;35.3893;0.467;2.8206;8.9093;2.3861;1224.2
ENVI;1;2;8.9145;42;-12;11.905;14.272;35.4623;0.5415;2.1839;5.5815;2.3447;1184.3
ENVI;1;2;8.9145;42;-13;12.897;14.269;35.4706;0.4712;2.9497;4.2128;2.34;1199.4
ENVI;1;2;8.9145;42;-14;13.89;14.2604;35.4751;0.459;2.4626;3.7034;2.329;1071.7
ENVI;1;2;8.9145;42;-15;14.882;14.2305;35.4747;0.4916;3.1715;2.8797;2.3268;1081
ENVI;1;2;8.9145;42;-16;15.874;14.1809;35.4974;0.4757;2.4246;2.7226;2.3307;1258.1
ENVI;1;2;8.9145;42;-17;16.866;14.1572;35.6279;0.4716;2.6545;1.8654;2.3467;1214.3
ENVI;1;2;8.9145;42;-18;17.858;14.0713;35.6769;0.4388;3.5202;1.1961;2.3441;1137.4
ENVI;1;2;8.9145;42;-19;18.85;14.0803;35.6575;0.3899;2.0542;1.0218;2.3098;1222.8
ENVI;1;2;8.9145;42;-20;19.842;13.9086;35.7115;0.4189;2.471;0.64022;2.3085;770.44
ENVI;1;2;8.9145;42;-21;20.834;13.5881;35.7215;0.3486;2.8998;0.48091;2.3042;717.56
