cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVI;2;3;8.956;42;-4;3.969;13.0669;32.4809;1.1145;3.0666;1.155;2.2997;12.559
ENVI;2;3;8.956;42;-5;4.961;13.2171;34.2653;1.1051;3.5928;0.80663;2.4735;13.852
ENVI;2;3;8.956;42;-6;5.953;13.2459;34.2299;1.0897;3.6168;0.53143;2.4682;13.075
ENVI;2;3;8.956;42;-7;6.945;13.2555;34.2337;1.1267;3.3126;0.41457;2.4683;11.961
ENVI;2;3;8.956;42;-8;7.937;13.3219;34.2582;1.4259;3.0649;0.30838;2.469;11.97
ENVI;2;3;8.956;42;-9;8.929;13.3979;34.3159;1.6358;3.0529;0.21819;2.4687;11.97
ENVI;2;3;8.956;42;-10;9.921;13.4195;34.4174;1.6514;2.9947;0.15802;2.468;11.97
ENVI;2;3;8.956;42;-11;10.913;13.5451;34.7421;1.8561;2.4881;0.11032;2.4661;12.557
ENVI;2;3;8.956;42;-12;11.905;13.6561;34.7955;1.6519;1.7682;0.071639;2.4576;14.034
ENVI;2;3;8.956;42;-13;12.897;13.9091;35.0889;1.2189;2.207;0.030244;2.4496;13.731
ENVI;2;3;8.956;42;-14;13.89;13.911;35.2091;1.0112;2.029;0.017874;2.4377;12.098
ENVI;2;3;8.956;42;-15;14.882;13.9099;35.2706;1.0736;1.8801;0.016474;2.4261;11.976
ENVI;2;3;8.956;42;-16;15.874;13.9209;35.3074;1.107;1.6681;0.0089361;2.4191;11.97
ENVI;2;3;8.956;42;-17;16.866;13.9433;35.3387;1.1397;1.5343;0.0011446;2.4175;11.97
ENVI;2;3;8.956;42;-18;17.858;14.05;35.4233;0.9762;1.5515;0.00013012;2.4171;13.37
ENVI;2;3;8.956;42;-19;18.85;14.2095;35.5904;0.7472;1.7672;3.78E-06;2.4161;13.946
ENVI;2;3;8.956;42;-20;19.842;14.2329;35.675;0.5342;3.0863;1.00E-12;2.3602;13.965
ENVI;2;3;8.956;42;-21;20.834;13.8902;35.6054;0.5713;3.3272;1.00E-12;2.3179;13.965
ENVI;2;3;8.956;42;-22;21.826;13.8454;35.6154;0.5152;2.1574;1.00E-12;2.3054;13.965
ENVI;2;3;8.956;42;-23;22.818;13.9693;35.65;0.5315;2.8938;1.00E-12;2.3221;12.043
ENVI;2;3;8.956;42;-24;23.81;14.2227;35.7526;0.4792;4.3927;1.00E-12;2.3266;12.579
ENVI;2;3;8.956;42;-25;24.802;14.3714;35.7964;0.4751;5.148;1.00E-12;2.2991;14.1
ENVI;2;3;8.956;42;-26;25.794;14.3475;35.7959;0.498;6.1752;1.00E-12;2.2787;13.965
ENVI;2;3;8.956;42;-27;26.786;14.2918;35.7946;0.5066;6.4823;1.00E-12;2.2571;13.965
ENVI;2;3;8.956;42;-28;27.778;14.2708;35.7928;0.4486;4.6635;1.00E-12;2.2193;13.965
ENVI;2;3;8.956;42;-29;28.77;14.2142;35.7833;0.4611;5.0909;1.00E-12;2.2181;13.691
ENVI;2;3;8.956;42;-30;29.762;14.0086;35.7384;0.4507;4.1496;1.00E-12;2.223;11.838
ENVI;2;3;8.956;42;-31;30.754;13.7314;35.6945;0.4494;3.713;1.00E-12;2.2225;13.715
ENVI;2;3;8.956;42;-32;31.746;13.6888;35.6877;0.3979;2.5134;1.00E-12;2.2379;13.942
ENVI;2;3;8.956;42;-33;32.738;13.7734;35.7153;0.3299;2.0851;1.00E-12;2.2775;13.965
ENVI;2;3;8.956;42;-34;33.73;13.712;35.7089;0.3898;3.1444;1.00E-12;2.2877;13.965
ENVI;2;3;8.956;42;-35;34.722;13.6021;35.6994;0.3535;2.6909;1.00E-12;2.2817;13.965
ENVI;2;3;8.956;42;-36;35.714;13.5419;35.6984;0.2908;1.8274;1.00E-12;2.283;13.965
ENVI;2;3;8.956;42;-37;36.706;13.4993;35.7064;0.2748;1.8558;1.00E-12;2.2829;13.965
ENVI;2;3;8.956;42;-38;37.698;13.4918;35.7073;0.2326;1.7561;1.00E-12;2.2778;13.965
ENVI;2;3;8.956;42;-39;38.69;13.4807;35.7087;0.2524;2.0102;1.00E-12;2.2755;13.965
ENVI;2;3;8.956;42;-40;39.682;13.4594;35.7108;0.2651;2.0817;1.00E-12;2.273;13.965
ENVI;2;3;8.956;42;-41;40.674;13.4503;35.7112;0.243;2.1464;1.00E-12;2.2691;13.965
ENVI;2;3;8.956;42;-42;41.666;13.4492;35.7111;0.2821;2.1805;1.00E-12;2.2668;13.965
ENVI;2;3;8.956;42;-43;42.658;13.4344;35.7124;0.2618;2.3016;1.00E-12;2.2646;13.965
ENVI;2;3;8.956;42;-44;43.65;13.4034;35.7167;0.2136;1.892;1.00E-12;2.2587;13.965
ENVI;2;3;8.956;42;-45;44.642;13.388;35.7195;0.2236;2.2263;1.00E-12;2.2538;13.965
ENVI;2;3;8.956;42;-46;45.633;13.3554;35.7244;0.2518;2.6981;1.00E-12;2.251;13.965
ENVI;2;3;8.956;42;-47;46.625;13.301;35.7377;0.2591;3.2048;1.00E-12;2.2396;14.199
ENVI;2;3;8.956;42;-48;47.617;13.2158;35.7457;0.2609;3.4346;1.00E-12;2.2105;15.47
ENVI;2;3;8.956;42;-49;48.609;13.1344;35.7417;0.286;3.9844;1.00E-12;2.1967;15.1
ENVI;2;3;8.956;42;-50;49.601;13.0913;35.7372;0.2892;4.1496;1.00E-12;2.1858;14.795
ENVI;2;3;8.956;42;-51;50.593;13.0512;35.7319;0.2739;3.8142;1.00E-12;2.1749;14.166
ENVI;2;3;8.956;42;-52;51.585;12.9115;35.7243;0.2364;3.0085;1.00E-12;2.1678;13.96
ENVI;2;3;8.956;42;-53;52.577;12.828;35.7252;0.2527;3.2647;1.00E-12;2.1597;14.844
ENVI;2;3;8.956;42;-54;53.569;12.7847;35.7231;0.2728;3.1016;1.00E-12;2.1435;16.095
ENVI;2;3;8.956;42;-55;54.561;12.6839;35.7188;0.2602;3.8864;1.00E-12;2.1417;15.96
ENVI;2;3;8.956;42;-56;55.553;12.5413;35.718;0.2573;3.982;1.00E-12;2.1382;15.96
ENVI;2;3;8.956;42;-57;56.544;12.4973;35.7152;0.2337;3.7586;1.00E-12;2.1335;15.96
ENVI;2;3;8.956;42;-58;57.536;12.4491;35.7128;0.1929;3.0985;1.00E-12;2.1237;14.185
ENVI;2;3;8.956;42;-59;58.528;12.2889;35.7063;0.2054;2.9689;1.00E-12;2.1158;13.962
ENVI;2;3;8.956;42;-60;59.52;12.1797;35.7024;0.2326;4.0147;1.00E-12;2.1088;15.395
ENVI;2;3;8.956;42;-61;60.512;12.1159;35.6967;0.2214;3.8099;1.00E-12;2.0902;15.974
ENVI;2;3;8.956;42;-62;61.504;12.098;35.6953;0.2812;5.2568;1.00E-12;2.0726;15.96
ENVI;2;3;8.956;42;-63;62.496;12.069;35.6946;0.329;5.9625;1.00E-12;2.0662;15.96
ENVI;2;3;8.956;42;-64;63.487;12.0318;35.6945;0.3374;6.2159;1.00E-12;2.0625;15.318
ENVI;2;3;8.956;42;-65;64.479;12.0103;35.6939;0.3139;5.7741;1.00E-12;2.0561;14.212
ENVI;2;3;8.956;42;-66;65.471;11.9989;35.6927;0.2894;4.0716;1.00E-12;2.0473;15.435
ENVI;2;3;8.956;42;-67;66.463;11.9554;35.6939;0.3161;6.668;1.00E-12;2.0462;15.946
ENVI;2;3;8.956;42;-68;67.455;11.9386;35.6936;0.3517;8.2181;1.00E-12;2.0414;15.96
ENVI;2;3;8.956;42;-69;68.446;11.9365;35.6932;0.368;8.857;1.00E-12;2.0354;15.96
ENVI;2;3;8.956;42;-70;69.438;11.9309;35.6931;0.3668;9.1562;1.00E-12;2.0313;15.96
ENVI;2;3;8.956;42;-71;70.43;11.9094;35.6929;0.3803;9.2844;1.00E-12;2.0287;15.96
ENVI;2;3;8.956;42;-72;71.422;11.9273;35.6916;0.378;7.1774;1.00E-12;2.0243;14.598
ENVI;2;3;8.956;42;-73;72.414;11.8825;35.6922;0.3503;8.5274;1.00E-12;2.0254;16.279
ENVI;2;3;8.956;42;-74;73.405;11.8734;35.6924;0.3211;9.0879;1.00E-12;2.0251;16.049
ENVI;2;3;8.956;42;-75;74.397;11.8668;35.6919;0.3241;8.9743;1.00E-12;2.0229;15.964
ENVI;2;3;8.956;42;-76;75.389;11.8852;35.6911;0.3651;8.0669;1.00E-12;2.0195;15.96
ENVI;2;3;8.956;42;-77;76.381;11.8861;35.6903;0.3566;8.3185;1.00E-12;2.0194;16.677
