cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVIII;7;3;8.956;42;-55;54.561;12.7534;35.654;0.8089;0.6629;1.00E-12;6.15856;4.99E+01
ENVIII;7;3;8.956;42;-56;55.553;12.7405;35.6542;0.6836;0.7447;1.00E-12;6.13827;4.99E+01
ENVIII;7;3;8.956;42;-57;56.544;12.7229;35.6539;0.645;0.6662;1.00E-12;6.14354;4.99E+01
ENVIII;7;3;8.956;42;-58;57.536;12.7014;35.6538;0.6252;0.6608;1.00E-12;6.12798;4.99E+01
ENVIII;7;3;8.956;42;-59;58.528;12.6821;35.6539;0.6125;0.6823;1.00E-12;6.12148;4.99E+01
ENVIII;7;3;8.956;42;-60;59.52;12.6577;35.6539;0.5944;0.6954;1.00E-12;6.11833;4.99E+01
ENVIII;7;3;8.956;42;-61;60.512;12.6095;35.6525;0.5857;0.7404;1.00E-12;6.10376;4.99E+01
ENVIII;7;3;8.956;42;-62;61.503;12.5693;35.6514;0.5218;0.631;1.00E-12;6.11056;4.99E+01
ENVIII;7;3;8.956;42;-63;62.496;12.553;35.6504;0.4656;0.6107;1.00E-12;6.13465;4.99E+01
ENVIII;7;3;8.956;42;-64;63.487;12.5306;35.6489;0.439;0.5283;1.00E-12;6.14633;4.99E+01
ENVIII;7;3;8.956;42;-65;64.479;12.4856;35.6445;0.3969;0.6239;1.00E-12;6.15312;4.99E+01
ENVIII;7;3;8.956;42;-66;65.471;12.4744;35.6461;0.4278;0.5656;1.00E-12;6.17494;4.99E+01
ENVIII;7;3;8.956;42;-67;66.463;12.4633;35.645;0.444;0.5348;1.00E-12;6.19781;4.99E+01
ENVIII;7;3;8.956;42;-68;67.455;12.4209;35.6438;0.3602;0.5641;1.00E-12;6.20517;5.00E+01
ENVIII;7;3;8.956;42;-69;68.446;12.3756;35.6421;0.2522;0.5066;1.00E-12;6.20906;5.00E+01
ENVIII;7;3;8.956;42;-70;69.438;12.3691;35.6422;0.2453;0.491;1.00E-12;6.24636;5.01E+01
ENVIII;7;3;8.956;42;-71;70.43;12.3616;35.6414;0.2718;0.491;1.00E-12;6.24864;5.04E+01
ENVIII;7;3;8.956;42;-72;71.422;12.3455;35.6411;0.2461;0.4845;1.00E-12;6.24485;5.06E+01
ENVIII;7;3;8.956;42;-73;72.414;12.3335;35.6399;0.2019;0.4533;1.00E-12;6.26298;5.05E+01
ENVIII;7;3;8.956;42;-74;73.405;12.3058;35.6393;0.1863;0.5296;1.00E-12;6.27615;5.10E+01
ENVIII;7;3;8.956;42;-75;74.397;12.2804;35.6402;0.1461;0.4381;1.00E-12;6.27199;5.14E+01
ENVIII;7;3;8.956;42;-76;75.389;12.2685;35.6412;0.1333;0.4925;1.00E-12;6.24807;5.17E+01
ENVIII;7;3;8.956;42;-77;76.381;12.2661;35.6424;0.1171;0.5279;1.00E-12;6.26212;5.14E+01
ENVIII;7;3;8.956;42;-78;77.373;12.2669;35.6436;0.114;0.5683;1.00E-12;6.19463;5.17E+01
ENVIII;7;3;8.956;42;-79;78.364;12.2664;35.6445;0.0689;0.5614;1.00E-12;6.15219;5.19E+01
ENVIII;7;3;8.956;42;-80;79.356;12.2604;35.6451;0.1209;0.5966;1.00E-12;6.15378;5.19E+01
ENVIII;7;3;8.956;42;-81;80.348;12.2427;35.6438;0.1025;0.6473;1.00E-12;6.11129;5.19E+01
ENVIII;7;3;8.956;42;-82;81.34;12.1993;35.6448;0.0554;0.6845;1.00E-12;6.07159;5.18E+01
