cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVI;5;3;8.956;42;-3;2.977;13.3441;28.885;5.2307;1.1592;0.24472;2.1561;1.9663
ENVI;5;3;8.956;42;-4;3.968;13.3382;33.5062;5.0175;1.4882;0.20903;2.5245;2.5289
ENVI;5;3;8.956;42;-5;4.961;13.4323;34.2082;5.31;1.424;0.15092;2.5825;3.3024
ENVI;5;3;8.956;42;-6;5.953;13.4505;34.3385;5.7677;1.5701;0.10449;2.5758;3.2551
ENVI;5;3;8.956;42;-7;6.945;13.465;34.4725;6.2703;1.5397;0.062089;2.5762;3.5602
ENVI;5;3;8.956;42;-8;7.937;13.4662;34.544;6.2164;1.4965;0.040449;2.5765;3.2855
ENVI;5;3;8.956;42;-9;8.929;13.4587;34.5941;6.2882;1.535;0.017483;2.5756;3.1576
ENVI;5;3;8.956;42;-10;9.921;13.4485;34.6615;6.375;1.414;0.00057797;2.5718;3.5448
ENVI;5;3;8.956;42;-11;10.913;13.428;34.8014;6.2801;1.4192;0.000049756;2.5684;3.7275
ENVI;5;3;8.956;42;-12;11.905;13.4002;34.9759;6.1877;1.3295;1.00E-12;2.5634;3.603
ENVI;5;3;8.956;42;-13;12.897;13.3854;35.2612;5.4924;1.4001;1.00E-12;2.5593;3.8034
ENVI;5;3;8.956;42;-14;13.89;13.39;35.3157;4.7972;1.3379;1.00E-12;2.5512;3.7494
ENVI;5;3;8.956;42;-15;14.882;13.4198;35.3772;3.7443;1.2599;1.00E-12;2.5267;3.7451
ENVI;5;3;8.956;42;-16;15.874;13.4213;35.4111;2.8769;1.1088;1.00E-12;2.4901;3.8393
ENVI;5;3;8.956;42;-17;16.866;13.4414;35.4331;2.5601;1.0655;1.00E-12;2.4571;3.7754
ENVI;5;3;8.956;42;-18;17.858;13.4303;35.4881;1.9132;1.1445;1.00E-12;2.4425;3.9477
ENVI;5;3;8.956;42;-19;18.85;13.4255;35.5065;1.5306;1.151;1.00E-12;2.4272;3.9013
