cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVI;3;3;8.956;42;-4;3.969;12.9751;33.9624;2.1335;1.3488;1.3956;2.3097;8.1753
ENVI;3;3;8.956;42;-5;4.961;13.0739;34.1016;2.1062;1.5162;1.3008;2.5013;10.268
ENVI;3;3;8.956;42;-6;5.953;13.0749;34.0873;2.0806;1.685;0.94063;2.4738;9.9751
ENVI;3;3;8.956;42;-7;6.945;13.6195;34.415;2.2321;1.7205;0.71747;2.4802;9.9751
ENVI;3;3;8.956;42;-8;7.937;13.8941;34.6599;2.0617;1.5083;0.59645;2.4968;9.9751
ENVI;3;3;8.956;42;-9;8.929;13.9249;34.7576;1.9218;1.6097;0.47044;2.4895;9.9751
ENVI;3;3;8.956;42;-10;9.921;13.9125;34.8961;1.8187;1.5604;0.36183;2.4801;9.9751
ENVI;3;3;8.956;42;-11;10.913;13.9123;34.9788;1.8098;1.4819;0.28719;2.4611;9.9751
ENVI;3;3;8.956;42;-12;11.905;14.0182;35.1061;1.7419;1.533;0.23597;2.4477;9.9751
ENVI;3;3;8.956;42;-13;12.898;14.0226;35.15;1.6042;1.532;0.20711;2.4356;9.9751
ENVI;3;3;8.956;42;-14;13.889;14.0018;35.1931;1.409;1.2952;0.14689;2.419;9.9751
ENVI;3;3;8.956;42;-15;14.882;14.0926;35.2867;1.3594;1.5012;0.09409;2.4169;9.9751
ENVI;3;3;8.956;42;-16;15.874;13.98;35.3224;1.2409;1.501;0.075871;2.4153;9.9751
ENVI;3;3;8.956;42;-17;16.866;13.8921;35.356;1.1622;1.3453;0.067022;2.4029;9.9751
ENVI;3;3;8.956;42;-18;17.858;13.9128;35.3805;0.9284;1.1651;0.062389;2.4005;9.9751
ENVI;3;3;8.956;42;-19;18.85;13.9258;35.3897;0.8444;1.0763;0.048739;2.3996;9.9751
ENVI;3;3;8.956;42;-20;19.842;14.0242;35.4506;0.8385;1.1;0.029047;2.3998;9.9751
ENVI;3;3;8.956;42;-21;20.834;14.0886;35.4982;0.7897;1.0898;0.012503;2.4022;9.9751
ENVI;3;3;8.956;42;-22;21.826;14.0738;35.5152;0.7785;1.0385;0.0054127;2.3954;9.9751
ENVI;3;3;8.956;42;-23;22.818;14.0486;35.5351;0.6386;0.9802;0.0014216;2.3863;9.9751
ENVI;3;3;8.956;42;-24;23.81;14.0227;35.5386;0.6194;1.0229;0.00026915;2.3808;9.9751
ENVI;3;3;8.956;42;-25;24.802;13.9709;35.549;0.6107;1.1286;0.000019536;2.3763;9.9751
ENVI;3;3;8.956;42;-26;25.794;13.9331;35.5567;0.5054;0.9881;1.00E-12;2.3715;9.9751
ENVI;3;3;8.956;42;-27;26.786;13.9367;35.5769;0.4848;1.1164;1.00E-12;2.3689;9.9751
ENVI;3;3;8.956;42;-28;27.778;13.9837;35.5997;0.4761;1.1705;1.00E-12;2.366;9.9751
ENVI;3;3;8.956;42;-29;28.77;14.0014;35.6133;0.4424;1.1603;1.00E-12;2.3604;9.9751
ENVI;3;3;8.956;42;-30;29.762;14.025;35.6506;0.3942;1.2499;1.00E-12;2.3551;9.9751
ENVI;3;3;8.956;42;-31;30.754;13.9463;35.6427;0.3475;1.2769;1.00E-12;2.3437;9.9751
ENVI;3;3;8.956;42;-32;31.746;13.8593;35.6269;0.3551;1.2813;1.00E-12;2.336;9.9751
ENVI;3;3;8.956;42;-33;32.738;13.8053;35.6252;0.3449;1.3005;1.00E-12;2.3348;9.9751
ENVI;3;3;8.956;42;-34;33.73;13.7436;35.6244;0.3235;1.4153;1.00E-12;2.3336;9.9751
ENVI;3;3;8.956;42;-35;34.722;13.723;35.6345;0.3269;1.3967;1.00E-12;2.333;9.9751
ENVI;3;3;8.956;42;-36;35.714;13.7062;35.6468;0.2722;1.2457;1.00E-12;2.3288;9.9751
ENVI;3;3;8.956;42;-37;36.706;13.6981;35.655;0.2674;1.4066;1.00E-12;2.3245;9.9751
ENVI;3;3;8.956;42;-38;37.698;13.696;35.6609;0.2509;1.5851;1.00E-12;2.3217;9.9751
ENVI;3;3;8.956;42;-39;38.69;13.6569;35.6658;0.2712;1.6335;1.00E-12;2.3185;9.9751
ENVI;3;3;8.956;42;-40;39.682;13.6077;35.6796;0.2297;1.5345;1.00E-12;2.3127;9.9751
ENVI;3;3;8.956;42;-41;40.674;13.5946;35.6824;0.2203;1.4338;1.00E-12;2.3054;10.01
ENVI;3;3;8.956;42;-42;41.666;13.5723;35.6903;0.1749;1.4455;1.00E-12;2.2989;10.005
ENVI;3;3;8.956;42;-43;42.658;13.5712;35.7016;0.1612;1.4894;1.00E-12;2.2934;9.9732
ENVI;3;3;8.956;42;-44;43.65;13.5565;35.7158;0.1772;2.0035;1.00E-12;2.2908;9.9751
ENVI;3;3;8.956;42;-45;44.642;13.5298;35.7217;0.1715;2.3539;1.00E-12;2.2783;10.004
ENVI;3;3;8.956;42;-46;45.634;13.5184;35.7224;0.1628;1.9952;1.00E-12;2.2552;10.106
ENVI;3;3;8.956;42;-47;46.625;13.5044;35.7218;0.1534;2.4017;1.00E-12;2.2497;9.9757
ENVI;3;3;8.956;42;-48;47.618;13.4505;35.7208;0.1688;2.5448;1.00E-12;2.2453;10.038
ENVI;3;3;8.956;42;-49;48.609;13.3509;35.7192;0.1462;2.5356;1.00E-12;2.2405;9.9782
ENVI;3;3;8.956;42;-50;49.601;13.2937;35.7179;0.1058;1.7275;1.00E-12;2.2366;9.9751
